CellID,initial_size_spliced,initial_size_unspliced,initial_size,n_counts,cell_cycle_theta
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_M05.out.bam,1227445,60309,1227445.0,982779.7,0.10999999999999999
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_M06.out.bam,636594,140983,636594.0,923138.7,0.56
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_M07.out.bam,1043462,99818,1043462.0,969431.9,0.040000000000000036
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_M08.out.bam,1147649,70101,1147649.0,909692.56,0.09999999999999998
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_M09.out.bam,1081507,90763,1081507.0,929486.5,0.04999999999999993
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_M10.out.bam,694286,160089,694286.0,911408.6,0.55
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_M11.out.bam,1685047,101765,1685047.0,954596.8,0.09999999999999998
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_M12.out.bam,789626,50722,789626.0,991149.56,1.0
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_M13.out.bam,1054630,340332,1054630.0,959945.6,0.56
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_M14.out.bam,364828,63667,364828.0,973965.44,0.56
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_M15.out.bam,971465,85155,971465.0,949669.0,0.10999999999999999
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_M16.out.bam,1200494,57312,1200494.0,949944.75,0.10999999999999999
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_N01.out.bam,1508669,102883,1508669.0,975397.56,0.98
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_N02.out.bam,1785432,106907,1785432.0,924032.8,0.10999999999999999
onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_N03.out.bam,1275630,62200,1275630.0,960895.3,0.10999999999999999
